<s>	sil #1
定	CH_d CH_i CH_N# #7
訂	CH_d CH_i CH_N# #8
碇	CH_d CH_i CH_N# #9
地	CH_d CH_i #4
地	CH_d CH_@ #5
狄	CH_d CH_i #5
迪	CH_d CH_i #6
笛	CH_d CH_i #7
滌	CH_d CH_i #8
敵	CH_d CH_i #9
底	CH_d CH_i #10
底	CH_d CH_@ #6
抵	CH_dzc CH_Uc #1
抵	CH_d CH_i #11
牴	CH_d CH_i #12
柢	CH_d CH_i #13
弟	CH_d CH_i #14
帝	CH_d CH_i #15
第	CH_d CH_i #16
蒂	CH_d CH_i #17
遞	CH_d CH_i #18
締	CH_d CH_i #19
督	CH_d CH_u #1
多	CH_d CH_u CH_o #1
奪	CH_d CH_u CH_o #2
鐸	CH_d CH_u CH_o #3
躲	CH_d CH_u CH_o #4
咄	CH_d CH_u CH_o #5
墮	CH_h CH_u CH_e CH_i #1
墮	CH_d CH_u CH_o #6
堆	CH_d CH_u CH_e CH_i #1
兌	CH_d CH_u CH_e CH_i #2
隊	CH_d CH_u CH_e CH_i #3
對	CH_d CH_u CH_e CH_i #4
端	CH_d CH_u CH_a CH_n# #1
短	CH_d CH_u CH_a CH_n# #2
段	CH_d CH_u CH_a CH_n# #3
緞	CH_d CH_u CH_a CH_n# #4
斷	CH_d CH_u CH_a CH_n# #5
敦	CH_d CH_u CH_e CH_i #5
墩	CH_d CH_u CH_@ CH_n# #1
蹲	CH_d CH_u CH_@ CH_n# #2
蹲	CH_ts CH_u CH_@ CH_n# #1
盹	CH_d CH_u CH_@ CH_n# #3
沌	CH_d CH_u CH_@ CH_n# #4
盾	CH_sc CH_u CH_@ CH_n# #1
盾	CH_d CH_u CH_@ CH_n# #5
鈍	CH_d CH_u CH_@ CH_n# #6
遁	CH_d CH_u CH_@ CH_n# #7
頓	CH_d CH_u #2
頓	CH_d CH_u CH_@ CH_n# #8
噸	CH_d CH_u CH_@ CH_n# #9
冬	CH_d CH_o CH_N# #1
東	CH_d CH_o CH_N# #2
董	CH_d CH_o CH_N# #3
懂	CH_d CH_o CH_N# #4
恫	CH_t CH_o CH_N# #1
恫	CH_d CH_o CH_N# #5
洞	CH_t CH_o CH_N# #2
洞	CH_d CH_o CH_N# #6
凍	CH_d CH_o CH_N# #7
胴	CH_t CH_o CH_N# #3
動	CH_d CH_o CH_N# #8
棟	CH_d CH_o CH_N# #9
毒	CH_d CH_u #3
獨	CH_d CH_u #4
瀆	CH_d CH_u #5
讀	CH_d CH_u #6
讀	CH_d CH_o CH_u #9
堵	CH_d CH_u #7
睹	CH_d CH_u #8
賭	CH_d CH_u #9
篤	CH_d CH_u #10
妒	CH_d CH_u #11
杜	CH_d CH_u #12
肚	CH_d CH_u #13
度	CH_d CH_u #14
度	CH_d CH_u CH_o #7
渡	CH_d CH_u #15
鍍	CH_d CH_u #16
它	CH_t CH_a #2
它	CH_t CH_u CH_o #2
他	CH_t CH_a #3
他	CH_t CH_u CH_o #3
她	CH_t CH_a #4
牠	CH_t CH_a #5
牠	CH_t CH_u CH_o #4
塌	CH_t CH_a #6
祂	CH_t CH_a #7
塔	CH_t CH_a #8
榻	CH_t CH_a #9
踏	CH_t CH_a #10
特	CH_t CH_@ #1
胎	CH_t CH_a CH_i #1
台	CH_# CH_i #1
台	CH_t CH_a CH_i #2
抬	CH_t CH_a CH_i #3
苔	CH_t CH_a CH_i #4
臺	CH_t CH_a CH_i #5
檯	CH_t CH_a CH_i #6
太	CH_t CH_a CH_i #7
汰	CH_t CH_a CH_i #8
泰	CH_t CH_a CH_i #9
態	CH_t CH_a CH_i #10
鈦	CH_t CH_a CH_i #11
掏	CH_t CH_a CH_u #1
饕	CH_t CH_a CH_u #2
桃	CH_t CH_a CH_u #3
逃	CH_t CH_a CH_u #4
淘	CH_t CH_a CH_u #5
陶	CH_t CH_a CH_u #6
萄	CH_t CH_a CH_u #7
濤	CH_t CH_a CH_u #8
討	CH_t CH_a CH_u #9
套	CH_t CH_a CH_u #10
偷	CH_t CH_o CH_u #1
投	CH_t CH_o CH_u #2
頭	CH_t CH_o CH_u #3
透	CH_t CH_o CH_u #4
坍	CH_t CH_a CH_n# #2
貪	CH_t CH_a CH_n# #3
癱	CH_t CH_a CH_n# #4
攤	CH_t CH_a CH_n# #5
灘	CH_t CH_a CH_n# #6
潭	CH_t CH_a CH_n# #7
談	CH_t CH_a CH_n# #8
壇	CH_t CH_a CH_n# #9
曇	CH_t CH_a CH_n# #10
譚	CH_t CH_a CH_n# #11
坦	CH_t CH_a CH_n# #12
袒	CH_t CH_a CH_n# #13
毯	CH_t CH_a CH_n# #14
炭	CH_t CH_a CH_n# #15
探	CH_t CH_a CH_n# #16
嘆	CH_t CH_a CH_n# #17
碳	CH_t CH_a CH_n# #18
湯	CH_t CH_a CH_N# #1
唐	CH_t CH_a CH_N# #2
堂	CH_t CH_a CH_N# #3
搪	CH_t CH_a CH_N# #4
糖	CH_t CH_a CH_N# #5
踼	CH_t CH_a CH_N# #6
帑	CH_n CH_u #1
帑	CH_t CH_a CH_N# #7
倘	CH_tsc CH_a CH_N# #1
倘	CH_t CH_a CH_N# #8
躺	CH_t CH_a CH_N# #9
趟	CH_t CH_a CH_N# #10
燙	CH_t CH_a CH_N# #11
疼	CH_t CH_@ CH_N# #1
滕	CH_t CH_@ CH_N# #2
謄	CH_t CH_@ CH_N# #3
藤	CH_t CH_@ CH_N# #4
騰	CH_t CH_@ CH_N# #5
籐	CH_t CH_@ CH_N# #6
剔	CH_t CH_i #1
梯	CH_t CH_i #2
踢	CH_t CH_i #3
貼	CH_t CH_i CH_E #1
鐵	CH_t CH_i CH_E #2
餮	CH_t CH_i CH_E #3
挑	CH_t CH_i CH_a CH_u #1
條	CH_t CH_i CH_a CH_u #2
調	CH_t CH_i CH_a CH_u #3
調	CH_d CH_i CH_a CH_u #11
眺	CH_t CH_i CH_a CH_u #4
跳	CH_t CH_i CH_a CH_u #5
天	CH_t CH_i CH_E CH_n# #2
添	CH_t CH_i CH_E CH_n# #3
田	CH_t CH_i CH_E CH_n# #4
恬	CH_t CH_i CH_E CH_n# #5
甜	CH_t CH_i CH_E CH_n# #6
填	CH_t CH_i CH_E CH_n# #7
聽	CH_t CH_i CH_N# #1
廳	CH_t CH_i CH_N# #2
廷	CH_t CH_i CH_N# #3
亭	CH_t CH_i CH_N# #4
庭	CH_t CH_i CH_N# #5
停	CH_t CH_i CH_N# #6
婷	CH_t CH_i CH_N# #7
霆	CH_t CH_i CH_N# #8
挺	CH_t CH_i CH_N# #9
艇	CH_t CH_i CH_N# #10
町	CH_d CH_i CH_N# #10
町	CH_t CH_i CH_N# #11
鋌	CH_t CH_i CH_N# #12
鋌	CH_d CH_i CH_N# #11
堤	CH_d CH_i #20
堤	CH_t CH_i #4
提	CH_d CH_i #21
提	CH_sc CH_Uc #1
提	CH_t CH_i #5
蹄	CH_t CH_i #6
題	CH_t CH_i #7
體	CH_t CH_i #8
剃	CH_t CH_i #9
涕	CH_t CH_i #10
惕	CH_t CH_i #11
逖	CH_t CH_i #12
替	CH_t CH_i #13
禿	CH_t CH_u #1
托	CH_t CH_u CH_o #5
扥	CH_d CH_@ CH_n#
拖	CH_t CH_u CH_o #6
託	CH_t CH_u CH_o #7
脫	CH_t CH_u CH_o #8
脫	CH_t CH_u CH_e CH_i #1
跎	CH_t CH_u CH_o #9
陀	CH_t CH_u CH_o #10
妥	CH_t CH_u CH_o #11
拓	CH_t CH_a #11
拓	CH_t CH_u CH_o #12
推	CH_t CH_u CH_e CH_i #2
頹	CH_t CH_u CH_e CH_i #3
腿	CH_t CH_u CH_e CH_i #4
退	CH_t CH_u CH_e CH_i #5
湍	CH_t CH_u CH_a CH_n# #1
團	CH_t CH_u CH_a CH_n# #2
吞	CH_t CH_u CH_@ CH_n# #1
屯	CH_dzc CH_u CH_@ CH_n# #1
屯	CH_t CH_u CH_@ CH_n# #2
囤	CH_t CH_u CH_@ CH_n# #3
囤	CH_d CH_u CH_@ CH_n# #10
豚	CH_t CH_u CH_@ CH_n# #4
褪	CH_t CH_u CH_e CH_i #6
通	CH_t CH_o CH_N# #4
同	CH_t CH_o CH_N# #5
桐	CH_t CH_o CH_N# #6
童	CH_t CH_o CH_N# #7
銅	CH_t CH_o CH_N# #8
瞳	CH_t CH_o CH_N# #9
仝	CH_t CH_o CH_N# #10
酮	CH_t CH_o CH_N# #11
桶	CH_t CH_o CH_N# #12
統	CH_t CH_o CH_N# #13
筒	CH_t CH_o CH_N# #14
痛	CH_t CH_o CH_N# #15
慟	CH_t CH_o CH_N# #16
凸	CH_t CH_u #2
凸	CH_d CH_i CH_E #9
凸	CH_g CH_u #1
突	CH_t CH_u #3
徒	CH_t CH_u #4
屠	CH_t CH_u #5
荼	CH_sc CH_u #1
荼	CH_t CH_u #6
途	CH_t CH_u #7
塗	CH_t CH_u #8
圖	CH_t CH_u #9
涂	CH_t CH_u #10
土	CH_t CH_u #11
吐	CH_t CH_u #12
兔	CH_t CH_u #13
拿	CH_n CH_a #1
哪	CH_n CH_u CH_o #1
哪	CH_n CH_a #2
那	CH_n CH_a #3
那	CH_n CH_u CH_o #2
那	CH_n CH_a #4
衲	CH_n CH_a #5
搽	CH_ts CH_a #1
搽	CH_tsc CH_a #1
納	CH_n CH_a #6
捺	CH_n CH_a #7
呢	CH_n CH_i #1
呢	CH_n CH_@ #1
乃	CH_n CH_a CH_i #1
奶	CH_n CH_a CH_i #2
奈	CH_n CH_a CH_i #3
耐	CH_n CH_a CH_i #4
內	CH_n CH_a #8
撓	CH_n CH_a CH_u #1
惱	CH_n CH_a CH_u #2
腦	CH_n CH_a CH_u #3
鬧	CH_n CH_a CH_u #4
囝	CH_dzi CH_i CH_E CH_n# #1
囝	CH_# CH_y CH_E #1
男	CH_n CH_a CH_n# #1
南	CH_n CH_a #9
楠	CH_n CH_a CH_n# #2
難	CH_n CH_a CH_n# #3
嫩	CH_n CH_@ CH_n#
囊	CH_n CH_a CH_N#
能	CH_n CH_@ CH_N# #1
捏	CH_n CH_i CH_E #1
鎳	CH_n CH_i CH_E #2
鳥	CH_d CH_i CH_a CH_u #12
尿	CH_n CH_i CH_a CH_u #1
妞	CH_n CH_i CH_o CH_u #1
牛	CH_n CH_i CH_o CH_u #2
扭	CH_n CH_i CH_o CH_u #3
紐	CH_n CH_i CH_o CH_u #4
鈕	CH_n CH_i CH_o CH_u #5
拗	CH_# CH_a CH_u #1
拗	CH_n CH_i CH_o CH_u #6
年	CH_n CH_i CH_E CH_n# #1
粘	CH_n CH_i CH_E CH_n# #2
拈	CH_d CH_i CH_E CH_n# #15
拈	CH_n CH_i CH_E CH_n# #3
輾	CH_dzc CH_a CH_n# #1
輾	CH_n CH_i CH_E CH_n# #4
念	CH_n CH_i CH_E CH_n# #5
唸	CH_n CH_i CH_E CH_n# #6
您	CH_n CH_i CH_n#
娘	CH_n CH_i CH_a CH_N# #1
釀	CH_n CH_i CH_a CH_N# #2
獰	CH_n CH_i CH_N# #1
濘	CH_n CH_i CH_N# #2
寧	CH_n CH_i CH_N# #3
凝	CH_n CH_i CH_N# #4
尼	CH_n CH_i #2
妮	CH_n CH_i #3
泥	CH_n CH_i #4
倪	CH_n CH_i #5
你	CH_n CH_i #6
妳	CH_n CH_i #7
擬	CH_n CH_i #8
匿	CH_n CH_i #9
逆	CH_n CH_i #10
溺	CH_n CH_i #11
溺	CH_n CH_i CH_a CH_u #2
膩	CH_n CH_i #12
挪	CH_n CH_u CH_o #3
娜	CH_n CH_u CH_o #4
娜	CH_n CH_a #10
諾	CH_n CH_u CH_o #5
懦	CH_n CH_u CH_o #6
暖	CH_si CH_y CH_E CH_n# #1
暖	CH_n CH_u CH_a CH_n#
農	CH_n CH_o CH_N# #1
儂	CH_n CH_o CH_N# #2
濃	CH_n CH_o CH_N# #3
穠	CH_n CH_o CH_N# #4
弄	CH_n CH_o CH_N# #5
奴	CH_n CH_u #2
努	CH_n CH_u #3
弩	CH_n CH_u #4
怒	CH_n CH_u #5
虐	CH_n CH_y CH_E #1
謔	CH_n CH_y CH_E #2
女	CH_n CH_y #1
拉	CH_l CH_a #1
啦	CH_l CH_a #2
辣	CH_l CH_a #3
臘	CH_l CH_a #4
蠟	CH_l CH_a #5
了	CH_l CH_i CH_a CH_u #2
了	CH_l CH_@ #1
勒	CH_l CH_e CH_i #1
勒	CH_l CH_@ #2
來	CH_l CH_a CH_i #1
萊	CH_l CH_a CH_i #2
錸	CH_l CH_a CH_i #3
睞	CH_l CH_a CH_i #4
獺	CH_t CH_a #12
賴	CH_l CH_a CH_i #5
雷	CH_l CH_e CH_i #2
儡	CH_l CH_e CH_i #3
蕾	CH_l CH_e CH_i #4
壘	CH_l CH_e CH_i #5
壘	CH_l CH_y #1
累	CH_l CH_e CH_i #6
淚	CH_l CH_e CH_i #7
類	CH_l CH_e CH_i #8
撈	CH_l CH_a CH_u #1
牢	CH_l CH_a CH_u #2
勞	CH_l CH_a CH_u #3
嘮	CH_l CH_a CH_u #4
老	CH_l CH_a CH_u #5
佬	CH_l CH_a CH_u #6
烙	CH_l CH_a CH_u #7
烙	CH_l CH_u CH_o #1
婁	CH_l CH_o CH_u #1
婁	CH_l CH_y #2
簍	CH_l CH_o CH_u #2
樓	CH_l CH_o CH_u #3
陋	CH_l CH_o CH_u #4
漏	CH_l CH_o CH_u #5
婪	CH_l CH_a CH_n# #1
嵐	CH_l CH_a CH_n# #2
藍	CH_l CH_a CH_n# #3
欄	CH_l CH_a CH_n# #4
蘭	CH_l CH_a CH_n# #5
攔	CH_l CH_a CH_n# #6
瀾	CH_l CH_a CH_n# #7
籃	CH_l CH_a CH_n# #8
懶	CH_l CH_a CH_n# #9
覽	CH_l CH_a CH_n# #10
攬	CH_l CH_a CH_n# #11
欖	CH_l CH_a CH_n# #12
纜	CH_l CH_a CH_n# #13
濫	CH_l CH_a CH_n# #14
爛	CH_l CH_a CH_n# #15
郎	CH_l CH_a CH_N# #1
狼	CH_l CH_a CH_N# #2
琅	CH_l CH_a CH_N# #3
廊	CH_l CH_a CH_N# #4
瑯	CH_l CH_a CH_N# #5
榔	CH_l CH_a CH_N# #6
朗	CH_l CH_a CH_N# #7
浪	CH_l CH_a CH_N# #8
冷	CH_l CH_@ CH_N# #1
楞	CH_l CH_@ CH_N# #2
列	CH_l CH_i CH_E #1
劣	CH_l CH_i CH_E #2
冽	CH_l CH_i CH_E #3
烈	CH_l CH_i CH_E #4
捩	CH_l CH_i #1
捩	CH_l CH_i CH_E #5
裂	CH_l CH_i CH_E #6
獵	CH_l CH_i CH_E #7
撩	CH_l CH_i CH_a CH_u #3
聊	CH_l CH_i CH_a CH_u #4
僚	CH_l CH_i CH_a CH_u #5
寥	CH_l CH_i CH_a CH_u #6
寮	CH_l CH_i CH_a CH_u #7
遼	CH_l CH_i CH_a CH_u #8
鐐	CH_l CH_i CH_a CH_u #9
繚	CH_l CH_i CH_a CH_u #10
療	CH_l CH_i CH_a CH_u #11
瞭	CH_l CH_i CH_a CH_u #12
料	CH_l CH_i CH_a CH_u #13
廖	CH_l CH_i CH_a CH_u #14
溜	CH_l CH_i CH_o CH_u #1
流	CH_l CH_i CH_o CH_u #2
琉	CH_l CH_i CH_o CH_u #3
留	CH_l CH_i CH_o CH_u #4
硫	CH_l CH_i CH_o CH_u #5
榴	CH_l CH_i CH_o CH_u #6
劉	CH_l CH_i CH_o CH_u #7
瘤	CH_l CH_i CH_o CH_u #8
鏐	CH_l CH_i CH_o CH_u #9
柳	CH_l CH_i CH_o CH_u #10
六	CH_l CH_u #1
六	CH_l CH_i CH_o CH_u #11
餾	CH_l CH_i CH_o CH_u #12
連	CH_l CH_i CH_E CH_n# #1
廉	CH_l CH_i CH_E CH_n# #2
憐	CH_l CH_i CH_E CH_n# #3
蓮	CH_l CH_i CH_E CH_n# #4
濂	CH_l CH_i CH_E CH_n# #5
聯	CH_l CH_i CH_E CH_n# #6
臉	CH_l CH_i CH_E CH_n# #7
煉	CH_l CH_i CH_E CH_n# #8
練	CH_l CH_i CH_E CH_n# #9
鍊	CH_l CH_i CH_E CH_n# #10
鏈	CH_l CH_i CH_E CH_n# #11
戀	CH_l CH_i CH_E CH_n# #12
歛	CH_l CH_i CH_E CH_n# #13
林	CH_l CH_i CH_n# #1
淋	CH_l CH_i CH_n# #2
琳	CH_l CH_i CH_n# #3
鄰	CH_l CH_i CH_n# #4
遴	CH_l CH_i CH_n# #5
霖	CH_l CH_i CH_n# #6
磷	CH_l CH_i CH_n# #7
臨	CH_l CH_i CH_n# #8
鱗	CH_l CH_i CH_n# #9
麟	CH_l CH_i CH_n# #10
吝	CH_l CH_i CH_n# #11
躪	CH_l CH_i CH_n# #12
良	CH_l CH_i CH_a CH_N# #1
梁	CH_l CH_i CH_a CH_N# #2
涼	CH_l CH_i CH_a CH_N# #3
量	CH_l CH_i CH_a CH_N# #4
樑	CH_l CH_i CH_a CH_N# #5
糧	CH_l CH_i CH_a CH_N# #6
兩	CH_l CH_i CH_a CH_N# #7
倆	CH_l CH_i CH_a #1
亮	CH_l CH_i CH_a CH_N# #8
諒	CH_l CH_i CH_a CH_N# #9
輛	CH_l CH_i CH_a CH_N# #10
拎	CH_l CH_i CH_N# #1
伶	CH_l CH_i CH_N# #2
玲	CH_l CH_i CH_N# #3
凌	CH_l CH_i CH_N# #4
苓	CH_l CH_i CH_N# #5
羚	CH_l CH_i CH_N# #6
翎	CH_l CH_i CH_N# #7
聆	CH_l CH_i CH_N# #8
陵	CH_l CH_i CH_N# #9
鈴	CH_l CH_i CH_N# #10
零	CH_l CH_i CH_E CH_n# #14
齡	CH_l CH_i CH_N# #11
靈	CH_l CH_i CH_N# #12
囹	CH_l CH_i CH_N# #13
領	CH_l CH_i CH_N# #14
嶺	CH_l CH_i CH_N# #15
令	CH_l CH_i CH_N# #16
另	CH_l CH_i CH_N# #17
哩	CH_l CH_i #2
狸	CH_l CH_i #3
梨	CH_l CH_i #4
璃	CH_l CH_i #5
黎	CH_l CH_i #6
罹	CH_l CH_i #7
釐	CH_si CH_i #1
釐	CH_l CH_i #8
離	CH_l CH_i #9
籬	CH_l CH_i #10
厘	CH_l CH_i #11
李	CH_l CH_i #12
里	CH_l CH_i #13
理	CH_l CH_i #14
裡	CH_l CH_i #15
鋰	CH_l CH_i #16
禮	CH_l CH_i #17
力	CH_l CH_i #18
立	CH_l CH_i #19
吏	CH_l CH_i #20
利	CH_l CH_i #21
例	CH_l CH_i #22
栗	CH_l CH_i #23
唳	CH_l CH_i #24
粒	CH_l CH_i #25
莉	CH_l CH_i #26
蒞	CH_l CH_i #27
厲	CH_l CH_a CH_i #6
曆	CH_l CH_i #28
歷	CH_l CH_i #29
勵	CH_l CH_i #30
壢	CH_l CH_i #31
瀝	CH_l CH_i #32
儷	CH_l CH_i #33
麗	CH_l CH_i #34
礫	CH_l CH_i #35
螺	CH_l CH_u CH_o #2
羅	CH_l CH_u CH_o #3
蘿	CH_l CH_u CH_o #4
邏	CH_l CH_u CH_o #5
籮	CH_l CH_u CH_o #6
鑼	CH_l CH_u CH_o #7
裸	CH_l CH_u CH_o #8
洛	CH_l CH_u CH_o #9
絡	CH_l CH_a CH_u #8
絡	CH_l CH_u CH_o #10
落	CH_l CH_a #6
落	CH_l CH_u CH_o #11
酪	CH_l CH_a CH_u #9
酪	CH_l CH_u CH_o #12
駱	CH_l CH_u CH_o #13
卵	CH_l CH_u CH_a CH_n# #1
亂	CH_l CH_u CH_a CH_n# #2
倫	CH_l CH_u CH_@ CH_n# #1
崙	CH_l CH_u CH_@ CH_n# #2
淪	CH_l CH_u CH_@ CH_n# #3
輪	CH_l CH_u CH_@ CH_n# #4
論	CH_l CH_u CH_@ CH_n# #5
隆	CH_l CH_o CH_N# #1
龍	CH_l CH_o CH_N# #2
嚨	CH_l CH_o CH_N# #3
朧	CH_l CH_o CH_N# #4
瓏	CH_l CH_o CH_N# #5
籠	CH_l CH_o CH_N# #6
聾	CH_l CH_o CH_N# #7
壟	CH_l CH_o CH_N# #8
攏	CH_l CH_o CH_N# #9
盧	CH_l CH_u #2
廬	CH_l CH_u #3
蘆	CH_l CH_u #4
爐	CH_l CH_u #5
顱	CH_l CH_u #6
滷	CH_l CH_u #7
擄	CH_l CH_u #8
擄	CH_l CH_u CH_o #14
魯	CH_l CH_u #9
陸	CH_l CH_u #10
陸	CH_l CH_i CH_o CH_u #13
鹿	CH_l CH_u #11
賂	CH_l CH_u #12
路	CH_l CH_u #13
碌	CH_l CH_u #14
祿	CH_l CH_u #15
戮	CH_l CH_u #16
錄	CH_l CH_u #17
麓	CH_l CH_u #18
露	CH_l CH_o CH_u #6
璐	CH_l CH_u #19
略	CH_l CH_y CH_E #1
攣	CH_l CH_y CH_E CH_n#
攣	CH_l CH_i CH_E CH_n# #15
驢	CH_l CH_y #3
呂	CH_l CH_y #4
侶	CH_l CH_y #5
旅	CH_l CH_y #6
屢	CH_l CH_y #7
履	CH_l CH_y #8
鋁	CH_l CH_y #9
縷	CH_l CH_y #10
律	CH_l CH_y #11
氯	CH_l CH_u #20
綠	CH_l CH_u #21
慮	CH_l CH_y #12
濾	CH_l CH_y #13
嘎	CH_g CH_a #1
戈	CH_g CH_@ #1
疙	CH_g CH_@ #2
哥	CH_g CH_@ #3
割	CH_g CH_@ #4
歌	CH_g CH_@ #5
擱	CH_g CH_@ #6
鴿	CH_g CH_@ #7
個	CH_g CH_@ #8
革	CH_g CH_@ #9
格	CH_g CH_@ #10
葛	CH_g CH_@ #11
隔	CH_g CH_@ #12
閣	CH_g CH_@ #13
骼	CH_g CH_@ #14
鎘	CH_g CH_@ #15
鎘	CH_l CH_i #36
各	CH_g CH_@ #16
箇	CH_g CH_@ #17
垓	CH_g CH_a CH_i #1
該	CH_g CH_a CH_i #2
改	CH_g CH_a CH_i #3
丐	CH_g CH_a CH_i #4
溉	CH_g CH_a CH_i #5
概	CH_g CH_a CH_i #6
蓋	CH_h CH_@ #1
蓋	CH_g CH_@ #18
蓋	CH_g CH_a CH_i #7
給	CH_g CH_e CH_i #1
羔	CH_g CH_a CH_u #1
皋	CH_g CH_a CH_u #2
高	CH_g CH_a CH_u #3
膏	CH_g CH_a CH_u #4
糕	CH_g CH_a CH_u #5
搞	CH_g CH_a CH_u #6
稿	CH_g CH_a CH_u #7
告	CH_g CH_a CH_u #8
勾	CH_g CH_o CH_u #1
溝	CH_g CH_o CH_u #2
鉤	CH_g CH_o CH_u #3
狗	CH_g CH_o CH_u #4
茍	CH_dzi CH_i #1
垢	CH_g CH_o CH_u #5
夠	CH_g CH_o CH_u #6
詬	CH_g CH_o CH_u #7
構	CH_g CH_o CH_u #8
購	CH_g CH_o CH_u #9
干	CH_g CH_a CH_n# #1
甘	CH_g CH_a CH_n# #2
肝	CH_g CH_a CH_n# #3
竿	CH_g CH_a CH_n# #4
乾	CH_g CH_a CH_n# #5
乾	CH_tsi CH_i CH_E CH_n# #1
桿	CH_g CH_a CH_n# #6
敢	CH_g CH_a CH_n# #7
感	CH_g CH_a CH_n# #8
感	CH_h CH_a CH_n# #1
趕	CH_g CH_a CH_n# #9
橄	CH_g CH_a CH_n# #10
幹	CH_h CH_a CH_n# #2
幹	CH_g CH_a CH_n# #11
根	CH_g CH_@ CH_n# #1
跟	CH_g CH_@ CH_n# #2
艮	CH_g CH_@ CH_n# #3
岡	CH_g CH_a CH_N# #1
缸	CH_g CH_a CH_N# #2
剛	CH_g CH_a CH_N# #3
崗	CH_g CH_a CH_N# #4
綱	CH_g CH_a CH_N# #5
鋼	CH_g CH_a CH_N# #6
港	CH_g CH_a CH_N# #7
槓	CH_g CH_a CH_N# #8
庚	CH_g CH_@ CH_N# #1
耕	CH_g CH_@ CH_N# #2
耕	CH_dzi CH_i CH_N# #1
羹	CH_g CH_@ CH_N# #3
羹	CH_l CH_a CH_N# #9
哽	CH_g CH_@ CH_N# #4
耿	CH_g CH_@ CH_N# #5
梗	CH_g CH_@ CH_N# #6
鯁	CH_g CH_@ CH_N# #7
更	CH_g CH_@ CH_N# #8
更	CH_dzi CH_i CH_N# #2
更	CH_g CH_@ CH_N# #9
估	CH_g CH_u #2
姑	CH_g CH_u #3
孤	CH_g CH_u #4
辜	CH_g CH_u #5
鈷	CH_g CH_u #6
瓜	CH_g CH_u CH_a #1
刮	CH_g CH_u CH_a #2
括	CH_g CH_u CH_a #3
括	CH_k CH_u CH_o #1
寡	CH_g CH_u CH_a #4
卦	CH_g CH_u CH_a #5
掛	CH_g CH_u CH_a #6
郭	CH_g CH_u CH_o #1
鍋	CH_g CH_u CH_o #2
國	CH_g CH_u CH_o #3
果	CH_g CH_u CH_o #4
裹	CH_g CH_u CH_o #5
過	CH_g CH_u CH_o #6
乖	CH_g CH_u CH_a CH_i #1
拐	CH_g CH_u CH_a CH_i #2
柺	CH_g CH_u CH_a CH_i #3
怪	CH_g CH_u CH_a CH_i #4
圭	CH_g CH_u CH_e CH_i #1
皈	CH_g CH_u CH_e CH_i #2
規	CH_g CH_u CH_e CH_i #3
瑰	CH_g CH_u CH_e CH_i #4
閨	CH_g CH_u CH_e CH_i #5
龜	CH_g CH_u CH_e CH_i #6
鮭	CH_g CH_u CH_e CH_i #7
鮭	CH_si CH_i CH_E #1
歸	CH_g CH_u CH_e CH_i #8
歸	CH_k CH_u CH_e CH_i #1
癸	CH_g CH_u CH_e CH_i #9
軌	CH_g CH_u CH_e CH_i #10
鬼	CH_g CH_u CH_e CH_i #11
詭	CH_g CH_u CH_e CH_i #12
匭	CH_g CH_u CH_e CH_i #13
桂	CH_g CH_u CH_e CH_i #14
貴	CH_g CH_u CH_e CH_i #15
跪	CH_g CH_u CH_e CH_i #16
櫃	CH_g CH_u CH_e CH_i #17
官	CH_g CH_u CH_a CH_n# #1
矜	CH_g CH_u CH_a CH_n# #2
矜	CH_tsi CH_i CH_n# #1
倌	CH_g CH_u CH_a CH_n# #3
莞	CH_# CH_u CH_a CH_n# #1
莞	CH_g CH_u CH_a CH_n# #4
莞	CH_# CH_u CH_a CH_n# #2
莞	CH_g CH_u CH_a CH_n# #5
棺	CH_g CH_u CH_a CH_n# #6
關	CH_g CH_u CH_a CH_n# #7
觀	CH_g CH_u CH_a CH_n# #8
管	CH_g CH_u CH_a CH_n# #9
館	CH_g CH_u CH_a CH_n# #10
冠	CH_g CH_u CH_a CH_n# #11
貫	CH_g CH_u CH_a CH_n# #12
慣	CH_g CH_u CH_a CH_n# #13
灌	CH_g CH_u CH_a CH_n# #14
罐	CH_g CH_u CH_a CH_n# #15
滾	CH_g CH_u CH_@ CH_n# #1
棍	CH_g CH_u CH_@ CH_n# #2
光	CH_g CH_u CH_a CH_N# #1
胱	CH_g CH_u CH_a CH_N# #2
廣	CH_g CH_u CH_a CH_N# #3
逛	CH_g CH_u CH_a CH_N# #4
公	CH_g CH_o CH_N# #1
工	CH_g CH_o CH_N# #2
弓	CH_g CH_o CH_N# #3
功	CH_g CH_o CH_N# #4
攻	CH_g CH_o CH_N# #5
供	CH_g CH_o CH_N# #6
恭	CH_g CH_o CH_N# #7
宮	CH_g CH_o CH_N# #8
躬	CH_g CH_o CH_N# #9
拱	CH_g CH_o CH_N# #10
鞏	CH_g CH_o CH_N# #11
共	CH_g CH_o CH_N# #12
貢	CH_g CH_o CH_N# #13
古	CH_g CH_u #7
谷	CH_g CH_u #8
谷	CH_# CH_y #1
股	CH_g CH_u #9
骨	CH_g CH_u #10
鼓	CH_g CH_u #11
榖	CH_g CH_u #12
固	CH_g CH_u #13
錮	CH_g CH_u #14
故	CH_g CH_u #15
雇	CH_g CH_u #16
僱	CH_g CH_u #17
顧	CH_g CH_u #18
咖	CH_k CH_a #1
卡	CH_k CH_a #2
卡	CH_tsi CH_i CH_a #1
